"","countyfips","statefip","year","anti_native.max","anti_native.sum"
"1","001","01",2011,0,0
"2","001","01",2013,0,0
"3","001","01",2014,0,0
"4","001","01",2015,0,0
"5","001","04",2006,0,0
"6","001","04",2010,0,0
"7","001","04",2013,0,0
"8","001","04",2016,0,0
"9","001","05",2005,0,0
"10","001","05",2006,0,0
"11","001","05",2007,0,0
"12","001","05",2008,0,0
"13","001","05",2009,0,0
"14","001","06",2005,0,0
"15","001","06",2006,0,0
"16","001","06",2007,0,0
"17","001","06",2008,0,0
"18","001","06",2009,0,0
"19","001","06",2010,0,0
"20","001","06",2011,0,0
"21","001","06",2012,0,0
"22","001","06",2013,1,1
"23","001","06",2014,0,0
"24","001","06",2015,1,1
"25","001","06",2016,1,5
"26","001","08",2005,0,0
"27","001","08",2006,0,0
"28","001","08",2007,0,0
"29","001","08",2008,0,0
"30","001","08",2009,0,0
"31","001","08",2010,0,0
"32","001","08",2011,0,0
"33","001","08",2012,0,0
"34","001","08",2013,0,0
"35","001","08",2014,0,0
"36","001","08",2015,0,0
"37","001","08",2016,0,0
"38","001","09",2005,0,0
"39","001","09",2006,1,1
"40","001","09",2007,0,0
"41","001","09",2008,0,0
"42","001","09",2009,0,0
"43","001","09",2010,0,0
"44","001","09",2011,0,0
"45","001","09",2012,0,0
"46","001","09",2013,0,0
"47","001","09",2014,0,0
"48","001","09",2015,1,3
"49","001","09",2016,1,2
"50","001","10",2005,0,0
"51","001","10",2006,0,0
"52","001","10",2007,0,0
"53","001","10",2008,0,0
"54","001","10",2009,0,0
"55","001","10",2010,0,0
"56","001","10",2011,0,0
"57","001","10",2013,0,0
"58","001","10",2014,0,0
"59","001","10",2015,0,0
"60","001","10",2016,0,0
"61","001","12",2005,0,0
"62","001","12",2006,0,0
"63","001","12",2007,0,0
"64","001","12",2008,0,0
"65","001","12",2009,0,0
"66","001","12",2010,0,0
"67","001","12",2011,0,0
"68","001","12",2012,0,0
"69","001","12",2013,0,0
"70","001","12",2014,0,0
"71","001","12",2015,0,0
"72","001","12",2016,0,0
"73","001","16",2005,0,0
"74","001","16",2006,0,0
"75","001","16",2007,0,0
"76","001","16",2008,0,0
"77","001","16",2009,0,0
"78","001","16",2010,0,0
"79","001","16",2011,0,0
"80","001","16",2012,0,0
"81","001","16",2013,0,0
"82","001","16",2014,0,0
"83","001","16",2015,0,0
"84","001","16",2016,0,0
"85","001","17",2012,0,0
"86","001","17",2013,0,0
"87","001","20",2005,0,0
"88","001","20",2007,0,0
"89","001","20",2008,0,0
"90","001","20",2009,0,0
"91","001","20",2010,0,0
"92","001","20",2011,0,0
"93","001","20",2013,0,0
"94","001","20",2015,0,0
"95","001","21",2011,0,0
"96","001","21",2014,0,0
"97","001","22",2005,0,0
"98","001","23",2005,0,0
"99","001","23",2006,0,0
"100","001","23",2007,0,0
"101","001","23",2008,0,0
"102","001","23",2009,0,0
"103","001","23",2010,0,0
"104","001","23",2011,0,0
"105","001","23",2012,0,0
"106","001","23",2013,0,0
"107","001","23",2015,0,0
"108","001","23",2016,0,0
"109","001","24",2005,0,0
"110","001","24",2006,0,0
"111","001","24",2007,0,0
"112","001","24",2009,0,0
"113","001","24",2011,0,0
"114","001","24",2012,0,0
"115","001","25",2005,0,0
"116","001","25",2006,0,0
"117","001","25",2007,0,0
"118","001","25",2008,0,0
"119","001","25",2009,0,0
"120","001","25",2010,0,0
"121","001","25",2011,0,0
"122","001","25",2012,0,0
"123","001","25",2013,0,0
"124","001","25",2014,0,0
"125","001","25",2015,0,0
"126","001","25",2016,0,0
"127","001","28",2009,0,0
"128","001","28",2014,0,0
"129","001","29",2005,0,0
"130","001","29",2006,0,0
"131","001","29",2007,0,0
"132","001","29",2010,0,0
"133","001","29",2011,0,0
"134","001","29",2015,0,0
"135","001","32",2006,0,0
"136","001","32",2010,0,0
"137","001","33",2006,0,0
"138","001","33",2007,0,0
"139","001","33",2008,0,0
"140","001","33",2009,0,0
"141","001","33",2010,0,0
"142","001","33",2012,0,0
"143","001","33",2014,0,0
"144","001","33",2016,0,0
"145","001","34",2005,0,0
"146","001","34",2006,0,0
"147","001","34",2007,0,0
"148","001","34",2008,1,1
"149","001","34",2009,0,0
"150","001","34",2010,0,0
"151","001","34",2011,0,0
"152","001","34",2012,0,0
"153","001","34",2013,0,0
