"","countyfips","statefip","year","population","anti_racial.max","anti_racial.sum","anti_racial.mean","racial_crime_diff","racial_crime_per_cap","racial_crime_per_1000"
"1",1,1,2011,54571,1,1,0.875,0.125,1.83247512415019e-05,0.0183247512415019
"2",1,1,2013,54571,1,2,0.875,1.125,3.66495024830038e-05,0.0366495024830038
"3",1,1,2014,54571,1,3,0.875,2.125,5.49742537245057e-05,0.0549742537245057
"4",1,1,2015,54571,1,1,0.875,0.125,1.83247512415019e-05,0.0183247512415019
"5",1,4,2006,71518,1,1,0.5,0.5,1.39824939176151e-05,0.0139824939176151
"6",1,4,2010,71518,0,0,0.5,-0.5,0,0
"7",1,4,2013,71518,1,1,0.5,0.5,1.39824939176151e-05,0.0139824939176151
"8",1,4,2016,71518,0,0,0.5,-0.5,0,0
"9",1,5,2005,19019,1,1,0.285714285714286,0.714285714285714,5.2578999947421e-05,0.052578999947421
"10",1,5,2006,19019,0,0,0.285714285714286,-0.285714285714286,0,0
"11",1,5,2007,19019,1,1,0.285714285714286,0.714285714285714,5.2578999947421e-05,0.052578999947421
"12",1,5,2008,19019,0,0,0.285714285714286,-0.285714285714286,0,0
"13",1,5,2009,19019,0,0,0.285714285714286,-0.285714285714286,0,0
"14",1,6,2005,1510271,1,23,0.430630630630631,22.5693693693694,1.52290549179584e-05,0.0152290549179584
"15",1,6,2006,1510271,1,17,0.430630630630631,16.5693693693694,1.12562579828388e-05,0.0112562579828388
"16",1,6,2007,1510271,1,23,0.430630630630631,22.5693693693694,1.52290549179584e-05,0.0152290549179584
"17",1,6,2008,1510271,1,20,0.430630630630631,19.5693693693694,1.32426564503986e-05,0.0132426564503986
"18",1,6,2009,1510271,1,7,0.430630630630631,6.56936936936937,4.63492975763952e-06,0.00463492975763952
"19",1,6,2010,1510271,1,28,0.430630630630631,27.5693693693694,1.85397190305581e-05,0.0185397190305581
"20",1,6,2011,1510271,1,12,0.430630630630631,11.5693693693694,7.94559387023918e-06,0.00794559387023918
"21",1,6,2012,1510271,1,12,0.430630630630631,11.5693693693694,7.94559387023918e-06,0.00794559387023918
"22",1,6,2013,1510271,1,28,0.430630630630631,27.5693693693694,1.85397190305581e-05,0.0185397190305581
"23",1,6,2014,1510271,1,21,0.430630630630631,20.5693693693694,1.39047892729186e-05,0.0139047892729186
"24",1,6,2015,1510271,1,15,0.430630630630631,14.5693693693694,9.93199233779898e-06,0.00993199233779898
"25",1,6,2016,1510271,1,33,0.430630630630631,32.5693693693694,2.18503831431578e-05,0.0218503831431578
"26",1,8,2005,441603,1,3,0.435483870967742,2.56451612903226,6.79343210983621e-06,0.00679343210983621
"27",1,8,2006,441603,1,2,0.435483870967742,1.56451612903226,4.52895473989081e-06,0.00452895473989081
"28",1,8,2007,441603,1,1,0.435483870967742,0.564516129032258,2.2644773699454e-06,0.0022644773699454
"29",1,8,2008,441603,1,4,0.435483870967742,3.56451612903226,9.05790947978161e-06,0.00905790947978161
"30",1,8,2009,441603,1,4,0.435483870967742,3.56451612903226,9.05790947978161e-06,0.00905790947978161
"31",1,8,2010,441603,1,2,0.435483870967742,1.56451612903226,4.52895473989081e-06,0.00452895473989081
"32",1,8,2011,441603,1,4,0.435483870967742,3.56451612903226,9.05790947978161e-06,0.00905790947978161
"33",1,8,2012,441603,1,3,0.435483870967742,2.56451612903226,6.79343210983621e-06,0.00679343210983621
"34",1,8,2013,441603,1,1,0.435483870967742,0.564516129032258,2.2644773699454e-06,0.0022644773699454
"35",1,8,2014,441603,1,1,0.435483870967742,0.564516129032258,2.2644773699454e-06,0.0022644773699454
"36",1,8,2015,441603,1,1,0.435483870967742,0.564516129032258,2.2644773699454e-06,0.0022644773699454
"37",1,8,2016,441603,1,1,0.435483870967742,0.564516129032258,2.2644773699454e-06,0.0022644773699454
"38",1,9,2005,916829,1,8,0.44,7.56,8.72572748026077e-06,0.00872572748026077
"39",1,9,2006,916829,1,14,0.44,13.56,1.52700230904563e-05,0.0152700230904563
"40",1,9,2007,916829,1,13,0.44,12.56,1.41793071554237e-05,0.0141793071554237
"41",1,9,2008,916829,1,12,0.44,11.56,1.30885912203912e-05,0.0130885912203912
"42",1,9,2009,916829,1,20,0.44,19.56,2.18143187006519e-05,0.0218143187006519
"43",1,9,2010,916829,1,18,0.44,17.56,1.96328868305867e-05,0.0196328868305867
"44",1,9,2011,916829,1,11,0.44,10.56,1.19978752853586e-05,0.0119978752853586
"45",1,9,2012,916829,1,10,0.44,9.56,1.0907159350326e-05,0.010907159350326
"46",1,9,2013,916829,1,13,0.44,12.56,1.41793071554237e-05,0.0141793071554237
"47",1,9,2014,916829,1,11,0.44,10.56,1.19978752853586e-05,0.0119978752853586
"48",1,9,2015,916829,1,18,0.44,17.56,1.96328868305867e-05,0.0196328868305867
"49",1,9,2016,916829,1,17,0.44,16.56,1.85421708955541e-05,0.0185421708955541
"50",1,10,2005,162310,1,2,0.693548387096774,1.30645161290323,1.23220996857865e-05,0.0123220996857865
"51",1,10,2006,162310,1,10,0.693548387096774,9.30645161290323,6.16104984289323e-05,0.0616104984289323
"52",1,10,2007,162310,1,6,0.693548387096774,5.30645161290323,3.69662990573594e-05,0.0369662990573594
"53",1,10,2008,162310,1,9,0.693548387096774,8.30645161290323,5.54494485860391e-05,0.0554494485860391
"54",1,10,2009,162310,1,4,0.693548387096774,3.30645161290323,2.46441993715729e-05,0.0246441993715729
"55",1,10,2010,162310,1,1,0.693548387096774,0.306451612903226,6.16104984289323e-06,0.00616104984289323
"56",1,10,2011,162310,1,2,0.693548387096774,1.30645161290323,1.23220996857865e-05,0.0123220996857865
"57",1,10,2013,162310,1,3,0.693548387096774,2.30645161290323,1.84831495286797e-05,0.0184831495286797
"58",1,10,2014,162310,1,2,0.693548387096774,1.30645161290323,1.23220996857865e-05,0.0123220996857865
"59",1,10,2015,162310,1,1,0.693548387096774,0.306451612903226,6.16104984289323e-06,0.00616104984289323
"60",1,10,2016,162310,1,3,0.693548387096774,2.30645161290323,1.84831495286797e-05,0.0184831495286797
"61",1,12,2005,247336,1,1,0.275229357798165,0.724770642201835,4.04308309344374e-06,0.00404308309344374
"62",1,12,2006,247336,1,3,0.275229357798165,2.72477064220183,1.21292492803312e-05,0.0121292492803312
"63",1,12,2007,247336,1,2,0.275229357798165,1.72477064220183,8.08616618688747e-06,0.00808616618688747
"64",1,12,2008,247336,1,2,0.275229357798165,1.72477064220183,8.08616618688747e-06,0.00808616618688747
"65",1,12,2009,247336,1,8,0.275229357798165,7.72477064220184,3.23446647475499e-05,0.0323446647475499
"66",1,12,2010,247336,1,4,0.275229357798165,3.72477064220183,1.61723323737749e-05,0.0161723323737749
"67",1,12,2011,247336,0,0,0.275229357798165,-0.275229357798165,0,0
